Datum	Betreff	Beginn	Ende	Kategorie	Ort
30.06.18	Frankreich - Argentinien	16:00:00	17:45:00	AF	Kasan
30.06.18	Uruguay - Portugal	20:00:00	21:45:00	AF	Sotschi
01.07.18	Spanien - Russland	16:00:00	17:45:00	AF	Moskau
01.07.18	Kroatien - DÃ¤nemark	20:00:00	21:45:00	AF	Nischni Nowograd
02.07.18	Brasilien - Mexiko	16:00:00	17:45:00	AF	Samara
02.07.18	Belgien - Japan	20:00:00	21:45:00	AF	Rostow am Don
03.07.18	Schweden - Schweiz	16:00:00	17:45:00	AF	St. Petersburg
03.07.18	Kolumbien - England	20:00:00	21:45:00	AF	Moskau
06.07.18	Uruguay - Frankreich	16:00:00	17:45:00	VF	Nischni Nowograd
06.07.18	Brasilien - Belgien	20:00:00	21:45:00	VF	Kasan
07.07.18	Schweden - England	16:00:00	17:45:00	VF	Samara
07.07.18	Russland - Kroatien	20:00:00	21:45:00	VF	Sotschi
10.07.18	Frankreich - Belgien	20:00:00	21:45:00	HF	St. Petersburg
11.07.18	Kroatien - England	20:00:00	21:45:00	HF	Moskau